Date and Time,NMI1,NMI2,NMI3,NMI4,NMI5,NMI6
1/01/2020 0:30,0.8,2.6,4.7,7.2,0.03,4.6
1/01/2020 1:00,0.833333333,2.633333333,4.4,7.033333333,0.033333333,4.7
1/01/2020 1:30,0.92,2.6,3.8,6.68,0.038,4.84
1/01/2020 2:00,0.942857143,2.228571429,3.942857143,6.571428571,0.03,4.514285714
1/01/2020 2:30,0.833333333,2.333333333,4.466666667,6.566666667,0.033333333,4.266666667
1/01/2020 3:00,0.733333333,2.366666667,4.5,6.733333333,0.036666667,4.233333333
1/01/2020 3:30,0.4,2.36,4.06,6.78,0.03,4.4
1/01/2020 4:00,0.4,2.971428571,4.5,6.814285714,0.032857143,4.628571429
1/01/2020 4:30,0.4,3.733333333,4.033333333,6.966666667,0.036666667,4.233333333
1/01/2020 5:00,0.566666667,3.133333333,4.2,6.866666667,0.176666667,4.3
1/01/2020 5:30,0.8,2.5,4.36,6.84,2.096,4.2
1/01/2020 6:00,0.4,2.042857143,3.771428571,5.114285714,8.548571429,3.742857143
1/01/2020 6:30,0.366666667,1.9,2.7,4.3,8.436666667,3.6
1/01/2020 7:00,0.333333333,1.9,2.666666667,3.866666667,8.506666667,3.533333333
1/01/2020 7:30,0.4,1.9,2.58,3.4,8.538,3.42
1/01/2020 8:00,0.4,1.928571429,2.785714286,3.742857143,8.452857143,3.5
1/01/2020 8:30,0.366666667,2.133333333,3.366666667,4.266666667,8.566666667,3.633333333
1/01/2020 9:00,0.333333333,2.433333333,2.933333333,3.5,8.453333333,3.8
1/01/2020 9:30,0.4,2.4,2.6,3.32,8.574,3.6
1/01/2020 10:00,0.4,2.057142857,2.8,3.4,8.487142857,3.628571429
1/01/2020 10:30,0.366666667,2.1,3,3.366666667,8.56,3.7
1/01/2020 11:00,0.333333333,1.933333333,2.466666667,3.466666667,8.55,3.7
1/01/2020 11:30,0.4,2,2.64,3.7,8.472,3.68
1/01/2020 12:00,0.371428571,2,2.771428571,3.328571429,8.631428571,3.6
1/01/2020 12:30,0.333333333,2,2.733333333,3.366666667,8.483333333,3.666666667
1/01/2020 13:00,0.366666667,2.033333333,2.8,3.4,8.59,3.766666667
1/01/2020 13:30,0.3,2.12,2.78,3.56,8.52,3.72
1/01/2020 14:00,0.328571429,2.171428571,2.985714286,3.457142857,8.582857143,3.8
1/01/2020 14:30,0.4,2.1,3.366666667,3.566666667,8.566666667,4.066666667
1/01/2020 15:00,0.366666667,2.1,2.733333333,3.5,8.52,4.4
1/01/2020 15:30,0.46,2.18,2.78,3.52,8.66,4
1/01/2020 16:00,0.871428571,2.528571429,2.871428571,3.657142857,8.48,4
1/01/2020 16:30,0.333333333,2.5,3.166666667,3.633333333,8.583333333,4.033333333
1/01/2020 17:00,0.4,2.233333333,2.9,3.333333333,8.51,4.066666667
1/01/2020 17:30,0.4,2.1,2.94,3.48,8.48,4
1/01/2020 18:00,0.542857143,2.128571429,3.071428571,3.771428571,5.865714286,4.085714286
1/01/2020 18:30,0.733333333,2.166666667,3.066666667,3.966666667,0.03,4.233333333
1/01/2020 19:00,0.4,2.133333333,3.266666667,4.366666667,0.03,4.033333333
1/01/2020 19:30,0.42,2.16,3.5,4.16,0.032,3.86
1/01/2020 20:00,0.471428571,2.228571429,3.7,4.514285714,0.037142857,3.728571429
1/01/2020 20:30,0.566666667,2.833333333,3.833333333,5.533333333,0.03,3.966666667
1/01/2020 21:00,0.9,2.966666667,4.766666667,6.966666667,0.033333333,4.366666667
1/01/2020 21:30,0.9,3.02,4.14,6.88,0.038,4.66
1/01/2020 22:00,0.9,2.7,4.385714286,6.857142857,0.03,5.242857143
1/01/2020 22:30,0.9,2.733333333,4.5,7,0.033333333,4.9
1/01/2020 23:00,0.9,2.766666667,4.233333333,7.166666667,0.036666667,4.466666667
1/01/2020 23:30,0.88,2.7,4.26,7.36,0.03,4.42
2-Jan-20,0.828571429,2.785714286,4.728571429,6.771428571,0.03,4.471428571
2/01/2020 0:30,0.9,2.866666667,4.233333333,6.733333333,0.033333333,4.4
2/01/2020 1:00,0.9,2.533333333,4.2,6.666666667,0.036666667,4.433333333
2/01/2020 1:30,0.9,2.48,4.4,6.5,0.03,4.44
2/01/2020 2:00,0.9,2.657142857,4.342857143,6.842857143,0.032857143,4.714285714
2/01/2020 2:30,0.9,2.3,4.366666667,6.733333333,0.036666667,5.4
