#Tariff is mandatory and must contain the name of the tariff.,,,,,,,,,,,,,,,,,,,
Tariff,NSP83,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"# This section sets the Times where Peak and Sholder rates apply.  All other times are Offpeak.  Both ""Peak"" and ""Shoulder"" are optional.",,,,,,,,,,,,,,,,,,,
,"# There can be muliple ""Timestamps"" - one per cell to the right of the key word ""Peak"" or ""Shoulder"".  Each timestamp consists of three values - separated by a space: <day> <starttime> <endtime>",,,,,,,,,,,,,,,,,,
,# Each timestamp consists of three values - separated by a space: <day> <starttime> <endtime>,,,,,,,,,,,,,,,,,,
,"# <day> uses 3 letter days - Mon through to Sun.  <day> can be a single day (e.g. Tue), multiple discrete days separated by a "";"" (e.g. Mon;Wed) or a range of days with start and end days separated by a ""-"" (e.g. Mon-Fri). ",,,,,,,,,,,,,,,,,,
,"# If <day> is a range , the start day must be a day in the week (Mon-Sun)  before the end day in the week.  E.g. Sun-Mon is invalid, Wed-Tue is invalid.",,,,,,,,,,,,,,,,,,
,"# <starttime> and <endtime> use the standard 24 hour clock notation, e.g. 08:00, 14:00.  The minute parts of <starttime> and <endtime> are ignored.  <starttime> must be before <endtime>.",,,,,,,,,,,,,,,,,,
,#  <startime> must not exceed 23:00. <endtime> must be grater than or equal to 01:00.  <endtime> can be 24:00 - meaning midnight.,,,,,,,,,,,,,,,,,,
Peak,Mon-Fri 07:00 10:00,Mon-Fri 16:00 23:00,,,,,,,,,,,,,,,,,
Shoulder,Mon-Fri 10:00 16:00,,,,,,,,,,,,,,,,,,
Offpeak,Other,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"# Generation is optional.  If present and the second cell is ""Distributed"", then Energy Generated will be distributed across the meters in the Energy Usage file according to the following priorities.",,,,,,,,,,,,,,,,,,,
,"# If there are entries in the third and subseqeunt cells of the ""Generation"" Line, Energy Generated will be distributed across only these meters in the priorty order in which they are listed.",,,,,,,,,,,,,,,,,,
,"# If there are no entries in the third and subsequent cells and there is a ""Business as Usual"" File, Energy will be distibuted across all meters in the priority order given by the highest to lowest annual cost in the Business as usual file",,,,,,,,,,,,,,,,,,
,"# If there are no entries in the third and subsequent cells and there is no  ""Business as Usual"" File, Energy will be distibuted across all meters in the priority order given by their appearance in the Energy Usage file",,,,,,,,,,,,,,,,,,
Generation,Distributed,NMI6,NMI5,NMI4,NMI3,NMI2,NMI1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# General is mandatory and must be followed by 13 lines (1 header and 12 months) of general parameter information.  Columns must be in the order specifed below.,,,,,,,,,,,,,,,,,,,
General,,,,,,,,,,,,,,,,,,,
Month,Service and Admin Charge ($/Day),Standing Charge ($/Yr),Demand Capacity ($/kVA/Mth),Demand Critical Peak ($/kVA/Mth),VEET Charge (c/kWh),VEET Loss Ratio,SRES Charge (c/kWh),SRES Loss Ratio,LRET Charge (c/kWh),LRET Loss Ratio,AEMO Pool RERT Charge (GST Exempt) (c/kWh),AEMO + RERT Loss Ratio,Ancillary Services (c/kWh),Ancillary Services Loss Ratio,Meter Charge ($/Yr),CT Compliance Testing Levy ($/Yr),Peak Rate (c/kWh),Shoulder Rate (c/kWh),Off-peak Rate (c/kWh)
January,2.09,5962,0.345,0.57,0.74,0.075675676,0.975351044,0.075510204,0.789344359,0.076843066,0.245625,0.066666667,0.09,0.077777778,1039.5,121,11.7,5.43,1.62
February,2.09,5962,0.345,0.57,0.66,0.075757576,0.975351044,0.075510204,0.744769619,0.076843066,0.0478125,0.066666667,5.768350515,0.077777778,1039.5,121,11.7,5.43,1.62
March,2.09,5962,0.345,0.57,0.65,0.075384615,0.98,0.075510204,0.72,0.075,0.045,0.066666667,0.09,0.077777778,1039.5,121,11.7,5.43,1.62
April,2.09,5962,0.345,0.57,0.72,0.075,0.98,0.075510204,0.7,0.075714286,0.045,0.066666667,0.09,0.077777778,1039.5,121,11.7,5.43,1.62
May,2.09,5962,0.345,0.57,0.65,0.075384615,0.98,0.075510204,0.69,0.075362319,0.045,0.066666667,0.09,0.077777778,1039.5,121,11.7,5.43,1.62
June,2.09,5962,0.345,0.57,0.57,0.075438596,0.98,0.075510204,0.74,0.075675676,0.045,0.066666667,0.09,0.077777778,1039.5,121,11.7,5.43,1.62
July,2.09,5962,0.345,0.57,0.66,0.075757576,0.98,0.075510204,0.88,0.076136364,0.048,0.0625,0.09,0.077777778,1039.5,121,11.7,5.43,1.62
